product_id,product_names
1,citrus fruit
2,semi-finished bread
3,margarine
4,ready soups
5,abrasive cleaner
6,yogurt
7,flour
8,bottled water
9,dishes
10,candy
11,bathroom cleaner
12,waffles
13,fruit/vegetable juice
14,hygiene articles
15,frozen fish
16,domestic eggs
17,white bread
18,sugar
19,cereals
20,bottled beer
21,cake bar
22,chocolate
23,shopping bags
24,specialty fat
25,soups
26,skin care
27,candles
28,tropical fruit
29,coffee
30,meat spreads
31,liquor (appetizer)
32,sweet spreads
33,salty snack
34,soda
35,canned fruit
36,misc. beverages
37,cream cheese 
38,frozen meals
39,napkins
40,newspapers
41,specialty chocolate
42,pot plants
43,seasonal products
44,softener
45,cling film/bags
46,pasta
47,long life bakery product
48,cooking chocolate
49,whole milk
50,soft cheese
51,sliced cheese
52,rum
53,house keeping products
54,pip fruit
55,condensed milk
56,rice
57,curd
58,whipped/sour cream
59,cookware
60,canned fish
61,baby cosmetics
62,dish cleaner
63,canned beer
64,rolls/buns
65,roll products 
66,other vegetables
67,butter
68,artif. sweetener
69,pastry
70,baking powder
71,baby food
72,dog food
73,UHT-milk
74,detergent
75,tea
76,canned vegetables
77,mayonnaise
78,white wine
79,brown bread
80,hard cheese
81,instant coffee
82,female sanitary products
83,soap
84,dental care
85,decalcifier
86,jam
87,nut snack
88,oil
89,mustard
90,frozen dessert
91,kitchen towels
92,chewing gum
93,flower (seeds)
94,processed cheese
95,specialty bar
96,pickled vegetables
97,photo/film
98,cocoa drinks
99,cat food
100,specialty vegetables
101,chocolate marshmallow
102,beef
103,frankfurter
104,spices
105,cleaner
106,syrup
107,chicken
108,root vegetables
109,beverages
110,sparkling wine
111,dessert
112,light bulbs
113,packaged fruit/vegetables
114,red/blush wine
115,salt
116,brandy
117,spread cheese
118,frozen potato products
119,potato products
120,Instant food products
121,butter milk
122,berries
123,frozen vegetables
124,grapes
125,popcorn
126,snack products
127,zwieback
128,male cosmetics
129,sausage
130,pet care
131,ice cream
132,onions
133,hamburger meat
134,ketchup
135,pork
136,prosecco
137,organic products
138,ham
139,turkey
140,rubbing alcohol
141,flower soil/fertilizer
142,vinegar
143,specialty cheese
144,curd cheese
145,make up remover
146,herbs
147,honey
148,pudding powder
149,liquor
150,fish
151,kitchen utensil
152,sauces
153,finished products
154,salad dressing
155,meat
156,hair spray
157,cream
158,liver loaf
159,nuts/prunes
160,liqueur
161,tidbits
162,whisky
163,preservation products
164,toilet cleaner
165,sound storage medium
166,frozen fruits
167,frozen chicken
168,organic sausage
169,bags
