trans_id,transactions,customer_age
1,"citrus fruit,semi-finished bread,margarine,ready soups",29
2,"tropical fruit,yogurt,coffee",52
3,whole milk,53
4,"pip fruit,yogurt,cream cheese ,meat spreads",73
5,"other vegetables,whole milk,condensed milk,long life bakery product",36
6,"whole milk,butter,yogurt,rice,abrasive cleaner",79
7,rolls/buns,35
8,"other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer)",21
9,pot plants,17
10,"whole milk,cereals",39
11,"tropical fruit,other vegetables,white bread,bottled water,chocolate",61
12,"citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes",17
13,beef,39
14,"frankfurter,rolls/buns,soda",52
15,"chicken,tropical fruit",40
16,"butter,sugar,fruit/vegetable juice,newspapers",39
17,fruit/vegetable juice,28
18,packaged fruit/vegetables,75
19,chocolate,24
20,specialty bar,64
21,other vegetables,60
22,"butter milk,pastry",54
23,whole milk,39
24,"tropical fruit,cream cheese ,processed cheese,detergent,newspapers",63
25,"tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner",38
26,"bottled water,canned beer",48
27,yogurt,16
28,"sausage,rolls/buns,soda,chocolate",34
29,other vegetables,72
30,"brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags",35
31,"yogurt,beverages,bottled water,specialty bar",77
32,"hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins",38
33,"root vegetables,other vegetables,whole milk,beverages,sugar",56
34,"pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner",16
35,"beef,grapes,detergent",28
36,"pastry,soda",48
37,fruit/vegetable juice,52
38,canned beer,45
39,"root vegetables,other vegetables,whole milk,dessert",42
40,"citrus fruit,zwieback,newspapers",47
41,"sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags",80
42,"tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy",19
43,"berries,yogurt",71
44,canned beer,65
45,"butter milk,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,newspapers",68
46,coffee,60
47,"pastry,bottled water",39
48,rolls/buns,68
49,misc. beverages,55
50,"root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product",24
51,"sausage,rolls/buns,cat food,newspapers",56
52,canned beer,42
53,"ham,grapes,other vegetables,whole milk",18
54,"turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice",18
55,"whole milk,yogurt,processed cheese,pickled vegetables,soda",40
56,"whole milk,curd,yogurt,pastry",27
57,"packaged fruit/vegetables,brown bread,canned beer",79
58,"rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins",62
59,"ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food",25
60,"rolls/buns,pastry,sugar",56
61,"other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent",71
62,"sausage,pastry",64
63,"sausage,beef,whole milk",80
64,"frankfurter,tropical fruit,rolls/buns,brown bread,sugar",65
65,"rolls/buns,pastry,soda",40
66,whole milk,68
67,"curd cheese,coffee",56
68,"red/blush wine,newspapers",64
69,"sausage,whole milk,curd",63
70,"tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate",57
71,red/blush wine,29
72,"whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds)",60
73,"frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers",40
74,"whole milk,meat spreads,soda",75
75,frozen potato products,51
76,"other vegetables,whole milk,rolls/buns,sugar",60
77,"citrus fruit,whole milk,curd,butter milk,pastry",25
78,"flour,salt,bottled water,fruit/vegetable juice,bottled beer",50
79,"sugar,bottled water,soda,bottled beer",21
80,"frozen meals,coffee",38
81,chocolate,32
82,"root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner",64
83,"root vegetables,onions,hard cheese,frozen vegetables",37
84,"herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles",33
85,bottled water,19
86,"sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent",28
87,"coffee,newspapers",76
88,"pork,other vegetables,whipped/sour cream",46
89,"berries,yogurt",31
90,soda,74
91,berries,41
92,"fruit/vegetable juice,salty snack,candles",48
93,"citrus fruit,butter milk,yogurt,cream cheese ",16
94,"pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate",43
95,detergent,55
96,"grapes,photo/film",45
97,"sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags",60
98,"chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent",18
99,"whole milk,yogurt,brown bread",43
